t,zx,zy,xhat,yhat,vxhat,vyhat
6.3800,60.3050,54.9731,60.3170,55.3781,-2.2008,0.5575
6.4000,61.7669,54.8021,61.5428,54.8901,-1.8273,0.4107
6.4200,60.5251,53.1076,60.6723,53.3762,-2.0726,-0.0370
6.4400,61.6737,52.9951,61.5173,53.0522,-1.8119,-0.1321
6.4600,62.3096,54.5438,62.1853,54.3196,-1.6048,0.2415
6.4800,62.2889,54.6207,62.2686,54.5763,-1.5709,0.3155
6.5000,60.7719,56.4973,60.9917,56.2101,-1.9372,0.7942
6.5200,65.5489,55.2000,64.8595,55.3539,-0.7882,0.5377
6.5400,61.2971,56.3747,61.8291,56.2232,-1.6748,0.7902
6.5600,62.5886,53.5236,62.4697,53.9309,-1.4766,0.1114
6.5800,60.8924,55.0915,61.1246,54.9178,-1.8635,0.4010
6.6000,64.2964,51.8368,63.8150,52.3001,-1.0612,-0.3713
6.6200,61.2444,54.2526,61.6268,53.9587,-1.6986,0.1187
6.6400,63.6855,54.4368,63.3716,54.3654,-1.1754,0.2377
6.6600,62.4713,53.8325,62.6028,53.9132,-1.3946,0.1032
6.6800,66.9861,56.5625,66.3244,56.1654,-0.2918,0.7651
6.7000,61.7197,55.9899,62.4096,56.0185,-1.4415,0.7174
6.7200,61.9847,53.1911,62.0441,53.6173,-1.5405,0.0069
6.7400,60.7845,50.9629,60.9688,51.3611,-1.8477,-0.6567
6.7600,60.1875,55.6607,60.2991,55.0138,-2.0338,0.4215
6.7800,60.6012,57.6958,60.5498,57.2948,-1.9482,1.0899
6.8000,62.2871,57.7237,62.0207,57.6626,-1.5041,1.1916
6.8200,60.1276,59.0748,60.4070,58.8666,-1.9698,1.5387
6.8400,60.9613,53.8946,60.8722,54.6450,-1.8214,0.2880
6.8600,60.5022,53.5694,60.5522,53.7316,-1.9048,0.0177
6.8800,65.0152,52.8430,64.3400,52.9764,-0.7796,-0.2045
6.9000,59.3110,54.9219,60.0630,54.6295,-2.0329,0.2829
6.9200,59.5379,55.9851,59.6105,55.7826,-2.1541,0.6204
6.9400,62.8880,54.5317,62.3899,54.7212,-1.3239,0.3045
6.9600,63.5544,53.4154,63.3757,53.6122,-1.0262,-0.0234
6.9800,63.5719,55.9661,63.5394,55.6129,-0.9720,0.5652
