t,steer_rad,accel,v_ref,cte,wp_idx
7.8800,-0.233230,1.407821,8.0000,1.6817,2
7.9000,-0.280733,1.407821,8.0000,1.5250,1
7.9200,-0.227991,1.407821,8.0000,1.3683,1
7.9400,0.102479,1.407821,8.0000,1.8160,1
7.9600,0.281989,1.407821,8.0000,1.6643,1
7.9800,0.085136,1.407821,8.0000,1.5133,1
8.0000,0.295774,1.407821,8.0000,1.3640,1
8.0200,0.083196,1.407821,8.0000,1.2162,1
8.0400,-0.153032,1.407821,8.0000,1.7648,1
8.0600,0.100642,1.407821,8.0000,1.6050,1
8.0800,-0.174863,1.407821,8.0000,1.4453,1
8.1000,-0.174519,1.407821,8.0000,1.2855,1
8.1200,0.147099,1.407821,8.0000,1.1258,1
8.1400,-0.295300,1.407821,8.0000,1.8960,2
8.1600,-0.294894,1.407821,8.0000,1.7455,2
8.1800,0.387603,1.407821,8.0000,1.4323,1
8.2000,0.165634,1.407821,8.0000,1.8852,1
8.2200,-0.385903,1.407821,8.0000,1.3082,1
8.2400,-0.019950,1.407821,8.0000,1.5675,1
8.2600,0.223021,1.407821,8.0000,1.4093,1
8.2800,0.222711,1.407821,8.0000,1.2512,1
8.3000,-0.213596,1.407821,8.0000,1.0933,1
8.3200,0.039342,1.407821,8.0000,1.7769,2
8.3400,-0.553029,1.407821,8.0000,1.5625,2
8.3600,-0.201048,1.407821,8.0000,1.4640,1
8.3800,0.276856,1.407821,8.0000,1.8856,1
8.4000,0.100118,1.407821,8.0000,1.7326,1
8.4200,0.288582,1.407821,8.0000,1.5807,1
8.4400,0.288241,1.407821,8.0000,1.4295,1
8.4600,0.084547,1.407821,8.0000,1.2794,1
8.4800,-0.450720,1.407821,8.0000,1.5749,2
8.5000,-0.413013,1.407821,8.0000,1.4461,1
8.5200,0.167422,1.407821,8.0000,1.5321,1
8.5400,-0.109692,1.407821,8.0000,1.3722,1
8.5600,-0.212604,1.407821,8.0000,1.1010,1
8.5800,0.029244,1.407821,8.0000,1.0522,1
8.6000,0.238193,1.407821,8.0000,1.6483,1
8.6200,-0.268274,1.407821,8.0000,1.6718,2
8.6400,0.215930,1.407821,8.0000,1.9735,1
8.6600,0.020434,1.407821,8.0000,1.8154,1
8.6800,-0.345748,1.407821,8.0000,1.2287,1
8.7000,-0.345369,1.407821,8.0000,1.0867,1
