t,x,y,yaw,v
10.4400,51.0942,54.8346,0.639724,7.2533
10.4600,51.2109,54.9217,0.641361,7.2800
10.4800,51.3263,55.0082,0.642981,7.2100
10.5000,51.4418,55.0968,0.654642,7.2800
10.5200,51.5551,55.1859,0.666181,7.2100
10.5400,51.6666,55.2756,0.677619,7.1548
10.5600,51.7792,55.3616,0.652254,7.0848
10.5800,51.8915,55.4458,0.643039,7.0148
10.6000,52.0047,55.5262,0.617755,6.9448
10.6200,52.1194,55.6021,0.584710,6.8748
