t,target_x,target_y,target_vx,target_vy
9.3800,57.9300,56.6900,-1.5000,0.5000
9.4000,57.9000,56.7000,-1.5000,0.5000
9.4200,57.8700,56.7100,-1.5000,0.5000
9.4400,57.8400,56.7200,-1.5000,0.5000
9.4600,57.8100,56.7300,-1.5000,0.5000
9.4800,57.7800,56.7400,-1.5000,0.5000
9.5000,57.7500,56.7500,-1.5000,0.5000
9.5200,57.7200,56.7600,-1.5000,0.5000
9.5400,57.6900,56.7700,-1.5000,0.5000
9.5600,57.6600,56.7800,-1.5000,0.5000
9.5800,57.6300,56.7900,-1.5000,0.5000
9.6000,57.6000,56.8000,-1.5000,0.5000
9.6200,57.5700,56.8100,-1.5000,0.5000
9.6400,57.5400,56.8200,-1.5000,0.5000
9.6600,57.5100,56.8300,-1.5000,0.5000
9.6800,57.4800,56.8400,-1.5000,0.5000
9.7000,57.4500,56.8500,-1.5000,0.5000
9.7200,57.4200,56.8600,-1.5000,0.5000
9.7400,57.3900,56.8700,-1.5000,0.5000
9.7600,57.3600,56.8800,-1.5000,0.5000
9.7800,57.3300,56.8900,-1.5000,0.5000
9.8000,57.3000,56.9000,-1.5000,0.5000
9.8200,57.2700,56.9100,-1.5000,0.5000
9.8400,57.2400,56.9200,-1.5000,0.5000
9.8600,57.2100,56.9300,-1.5000,0.5000
9.8800,57.1800,56.9400,-1.5000,0.5000
9.9000,57.1500,56.9500,-1.5000,0.5000
9.9200,57.1200,56.9600,-1.5000,0.5000
9.9400,57.0900,56.9700,-1.5000,0.5000
9.9600,57.0600,56.9800,-1.5000,0.5000
9.9800,57.0300,56.9900,-1.5000,0.5000
10.0000,57.0000,57.0000,-1.5000,0.5000
10.0200,56.9700,57.0100,-1.5000,0.5000
10.0400,56.9400,57.0200,-1.5000,0.5000
10.0600,56.9100,57.0300,-1.5000,0.5000
10.0800,56.8800,57.0400,-1.5000,0.5000
10.1000,56.8500,57.0500,-1.5000,0.5000
10.1200,56.8200,57.0600,-1.5000,0.5000
10.1400,56.7900,57.0700,-1.5000,0.5000
10.1600,56.7600,57.0800,-1.5000,0.5000
10.1800,56.7300,57.0900,-1.5000,0.5000
10.2000,56.7000,57.1000,-1.5000,0.5000
10.2200,56.6700,57.1100,-1.5000,0.5000
10.2400,56.6400,57.1200,-1.5000,0.5000
10.2600,56.6100,57.1300,-1.5000,0.5000
10.2800,56.5800,57.1400,-1.5000,0.5000
10.3000,56.5500,57.1500,-1.5000,0.5000
