t,x,y,yaw,v
10.3000,34.1105,44.1273,0.971270,5.2000
10.3200,34.1692,44.2131,0.971270,5.2000
10.3400,34.2278,44.2990,0.971270,5.2000
10.3600,34.2865,44.3848,0.971270,5.2000
10.3800,34.3452,44.4707,0.971270,5.2000
10.4000,34.4039,44.5566,0.971270,5.2000
10.4200,34.4626,44.6424,0.971270,5.2000
10.4400,34.5212,44.7283,0.971270,5.2000
10.4600,34.5799,44.8142,0.971270,5.2000
10.4800,34.6386,44.9000,0.971270,5.2000
10.5000,34.6973,44.9859,0.971270,5.2000
10.5200,34.7560,45.0717,0.971270,5.2000
10.5400,34.8147,45.1576,0.971270,5.2000
10.5600,34.8733,45.2435,0.971270,5.2000
10.5800,34.9320,45.3293,0.971270,5.2000
10.6000,34.9907,45.4152,0.971270,5.2000
10.6200,35.0494,45.5011,0.971270,5.2000
10.6400,35.1081,45.5869,0.971270,5.2000
10.6600,35.1667,45.6728,0.971270,5.2000
10.6800,35.2254,45.7586,0.971270,5.2000
10.7000,35.2841,45.8445,0.971270,5.2000
10.7200,35.3428,45.9304,0.971270,5.2000
10.7400,35.4015,46.0162,0.971270,5.2000
10.7600,35.4602,46.1021,0.971270,5.2000
10.7800,35.5188,46.1880,0.971270,5.2000
10.8000,35.5775,46.2738,0.971270,5.2000
10.8200,35.6362,46.3597,0.971270,5.2000
10.8400,35.6949,46.4455,0.971270,5.2000
10.8600,35.7536,46.5314,0.971270,5.2000
10.8800,35.8123,46.6173,0.971270,5.2000
10.9000,35.8709,46.7031,0.971270,5.2000
10.9200,35.9296,46.7890,0.971270,5.2000
10.9400,35.9883,46.8749,0.971270,5.2000
10.9600,36.0470,46.9607,0.971270,5.2000
10.9800,36.1057,47.0466,0.971270,5.2000
11.0000,36.1643,47.1324,0.971270,5.2000
11.0200,36.2230,47.2183,0.971270,5.2000
11.0400,36.2817,47.3042,0.971270,5.2000
11.0600,36.3404,47.3900,0.971270,5.2000
11.0800,36.3991,47.4759,0.971270,5.2000
11.1000,36.4578,47.5618,0.971270,5.2000
11.1200,36.5164,47.6476,0.971270,5.2000
