t,steer_rad,accel,v_ref,cte,wp_idx
5.5800,0.000000,0.663887,5.2000,22.0520,1
5.6000,0.000000,0.663887,5.2000,22.1557,1
5.6200,0.000000,0.663887,5.2000,22.2594,1
5.6400,0.000000,0.663887,5.2000,22.3632,1
5.6600,0.000000,0.663887,5.2000,22.4669,1
5.6800,0.000000,0.663887,5.2000,22.5707,1
5.7000,0.000000,0.663887,5.2000,22.6744,1
5.7200,0.000000,0.663887,5.2000,22.7782,1
5.7400,0.000000,0.663887,5.2000,22.8819,1
5.7600,0.000000,0.663887,5.2000,22.9857,1
5.7800,0.000000,0.663887,5.2000,23.0895,1
5.8000,0.000000,0.663887,5.2000,23.1932,1
5.8200,0.000000,0.663887,5.2000,23.2970,1
5.8400,0.000000,0.663887,5.2000,23.4007,1
5.8600,0.000000,0.663887,5.2000,23.5045,1
5.8800,0.000000,0.663887,5.2000,23.6083,1
5.9000,0.000000,0.663887,5.2000,23.7121,1
5.9200,0.000000,0.663887,5.2000,23.8158,1
5.9400,0.000000,0.663887,5.2000,23.9196,1
5.9600,0.000000,0.663887,5.2000,24.0234,1
5.9800,0.000000,0.663887,5.2000,24.1272,1
6.0000,0.000000,0.663887,5.2000,24.2310,1
6.0200,0.000000,0.663887,5.2000,24.3347,1
6.0400,0.000000,0.663887,5.2000,24.4385,1
6.0600,0.000000,0.663887,5.2000,24.5423,1
6.0800,0.000000,0.663887,5.2000,24.6461,1
6.1000,0.000000,0.663887,5.2000,24.7499,1
6.1200,0.000000,0.663887,5.2000,24.8537,1
6.1400,0.000000,0.663887,5.2000,24.9575,1
6.1600,0.000000,0.663887,5.2000,25.0613,1
6.1800,0.000000,0.663887,5.2000,25.1651,1
6.2000,0.000000,0.663887,5.2000,25.2689,1
6.2200,0.000000,0.663887,5.2000,25.3727,1
6.2400,0.000000,0.663887,5.2000,25.4765,1
6.2600,0.000000,0.663887,5.2000,25.5803,1
6.2800,0.000000,0.663887,5.2000,25.6841,1
6.3000,0.000000,0.663887,5.2000,25.7879,1
6.3200,0.000000,0.663887,5.2000,25.8917,1
6.3400,0.000000,0.663887,5.2000,25.9955,1
6.3600,0.000000,0.663887,5.2000,26.0993,1
6.3800,0.000000,0.663887,5.2000,26.2031,1
6.4000,0.000000,0.663887,5.2000,26.3070,1
6.4200,0.000000,0.663887,5.2000,26.4108,1
6.4400,0.000000,0.663887,5.2000,26.5146,1
6.4600,0.000000,0.663887,5.2000,26.6184,1
6.4800,0.000000,0.663887,5.2000,26.7222,1
6.5000,0.000000,0.663887,5.2000,26.8261,1
6.5200,0.000000,0.663887,5.2000,26.9299,1
6.5400,0.000000,0.663887,5.2000,27.0337,1
